,date,open,close,high,low,volume,code
74,2010-04-26,88.702,87.381,89.072,87.362,107036.13,600519
75,2010-04-27,87.355,84.841,87.355,84.681,58234.48,600519
76,2010-04-28,84.235,84.318,85.128,83.597,26287.43,600519
77,2010-04-29,84.592,85.671,86.315,84.592,34501.2,600519
78,2010-04-30,83.871,82.34,83.871,81.523,85566.7,600519
79,2010-05-04,81.676,82.091,82.678,80.974,23975.16,600519
80,2010-05-05,81.555,83.463,83.75,81.236,33838.78,600519
81,2010-05-06,83.597,81.267,83.597,81.236,28240.34,600519
82,2010-05-07,80.406,82.965,83.195,80.087,31254.76,600519
83,2010-05-10,84.235,85.218,86.787,84.235,66192.58,600519
84,2010-05-11,86.526,85.294,86.787,84.764,33632.41,600519
85,2010-05-12,85.058,84.988,85.511,82.958,21643.19,600519
86,2010-05-13,85.02,86.066,86.596,85.02,27049.54,600519
87,2010-05-14,86.073,86.117,86.858,85.511,18126.16,600519
88,2010-05-17,85.958,82.831,85.958,82.703,17643.59,600519
89,2010-05-18,82.958,83.029,83.577,80.521,26037.47,600519
90,2010-05-19,83.278,82.85,83.724,81.695,10798.97,600519
91,2010-05-20,82.608,83.903,85.084,82.327,22740.45,600519
92,2010-05-21,82.576,85.645,85.894,81.982,27341.38,600519
93,2010-05-24,86.143,86.768,87.106,85.703,29783.47,600519
94,2010-05-25,86.532,83.756,86.532,83.437,22050.77,600519
95,2010-05-26,83.916,84.196,84.656,83.061,11025.31,600519
96,2010-05-31,85.192,84.158,86.29,84.158,23549.88,600519
97,2010-06-01,84.075,84.637,85.166,83.278,23525.57,600519
98,2010-06-02,84.592,85.613,85.766,84.011,21889.44,600519
99,2010-06-03,86.143,86.168,87.106,85.128,24949.42,600519
100,2010-06-04,86.105,88.14,88.319,85.645,30036.43,600519
101,2010-06-07,87.425,90.016,90.789,86.787,38125.07,600519
102,2010-06-08,90.016,89.416,90.54,88.702,14394.78,600519
103,2010-06-09,89.48,90.246,90.999,89.391,18053.93,600519
104,2010-06-10,90.233,90.201,90.999,89.678,11781.27,600519
105,2010-06-11,90.342,88.517,90.935,88.421,19572.75,600519
106,2010-06-17,88.829,87.094,89.014,86.985,12523.71,600519
107,2010-06-18,86.794,84.401,87.298,83.603,20102.29,600519
108,2010-06-21,84.49,85.792,85.83,83.724,18954.01,600519
109,2010-06-22,85.039,84.356,85.473,83.852,20779.1,600519
110,2010-06-23,84.235,84.043,84.796,83.865,12812.76,600519
111,2010-06-24,84.177,82.939,84.535,82.754,24344.03,600519
112,2010-06-25,82.831,83.29,83.597,82.212,19011.35,600519
113,2010-06-28,83.086,81.689,83.099,81.561,14816.98,600519
114,2010-06-29,82.008,80.578,82.569,80.093,27782.66,600519
115,2010-06-30,80.406,81.274,81.363,80.183,17824.12,600519
116,2010-07-01,81.586,81.057,81.586,80.725,7449.69,600519
117,2010-07-02,80.757,81.478,82.384,80.757,16452.7,600519
118,2010-07-05,81.483,81.038,81.676,80.233,14040.74,600519
119,2010-07-06,81.096,82.191,82.552,80.517,15306.43,600519
120,2010-07-07,82.191,82.011,82.771,81.483,8788.28,600519
121,2010-07-08,81.876,82.655,82.771,81.876,8516.41,600519
122,2010-07-09,82.823,84.42,85.154,82.262,27378.51,600519
123,2010-07-12,84.253,84.195,85.863,84.092,17834.0,600519
124,2010-07-13,84.214,83.447,84.214,82.777,7439.11,600519
125,2010-07-14,83.351,83.892,84.484,83.112,9642.66,600519
126,2010-07-15,84.059,84.916,85.798,83.963,18833.33,600519
127,2010-07-16,84.317,86.191,86.533,84.111,32949.51,600519
128,2010-07-19,85.702,87.473,87.731,85.612,19412.32,600519
129,2010-07-20,87.589,87.931,88.433,86.752,26886.19,600519
130,2010-07-21,87.931,88.813,90.436,87.931,24363.02,600519
131,2010-07-22,89.406,88.865,89.406,88.117,16221.66,600519
132,2010-07-23,89.006,90.636,90.836,89.006,38466.0,600519
133,2010-07-26,90.636,90.797,91.969,90.34,22016.91,600519
134,2010-07-27,90.243,91.467,91.583,90.243,25229.04,600519
135,2010-07-28,91.853,92.072,92.13,91.145,27740.35,600519
136,2010-07-29,92.066,89.805,92.175,89.638,45372.87,600519
137,2010-07-30,89.715,89.322,89.715,88.568,29438.77,600519
138,2010-08-02,89.296,92.465,93.567,89.296,42965.73,600519
139,2010-08-03,92.111,91.634,93.27,91.473,17573.23,600519
140,2010-08-04,91.467,92.768,92.884,91.286,17350.13,600519
141,2010-08-05,92.807,95.435,96.201,92.807,41966.13,600519
142,2010-08-06,95.203,95.46,95.847,94.816,21840.53,600519
